Family_History,Social_Support,Counseling_Service_Use,Extracurricular_Involvement,Semester_Credit_Load,Sleep_Quality,Physical_Activity,Stress_Level,Financial_Stress,Substance_Use,Diet_Quality,Depression_Score,Anxiety_Score,Chronic_Illness,Burnout_Score,Burnout_Level
1,0.5,0,0.5,0.714285714,0.5,0.5,0.2,0,0,1,0.4,0.8,0,0.45751952,1
0,0,0,0.5,0.928571429,1,0.5,0.8,0.4,0,1,0.8,0.4,0,0.536891066,1
0,0.5,0,0.5,0.785714286,0.5,0.5,0.4,0.8,0,1,1,0.6,0,0.460299095,1
0,0.5,1,1,1,0.5,0.5,0.4,1,0,0.5,1,0.6,0,0.648053133,2
0,1,0,0.5,0.071428571,1,1,0,0,0,1,0.6,0,0,0,0
0,0.5,0.5,1,0.928571429,0,1,0.2,0.6,0,1,0.8,0,0,0.390287083,0
0,1,0,0.5,0.928571429,1,0,0.8,0.8,0.5,0.5,0.2,0.4,1,0.622752944,2
0,0,0,0.5,0.785714286,1,0,0,0.6,0,0.5,0.6,0.2,0,0.458759155,1
1,1,1,0,0.5,1,0.5,0.8,0.2,0,1,0.8,0,0,0.55987727,2
0,0.5,1,0.5,1,0.5,0,0.8,0.2,0,1,0.2,0.4,0,0.587563611,2
1,0.5,1,0.5,0.928571429,1,0.5,0,0.2,0,0.5,0.8,0.4,0,0.582355981,2
1,0.5,0.5,0,0.928571429,0.5,0.5,0.4,0.2,0,0.5,0.6,0.2,0,0.654953185,2
0,0.5,0,0.5,0.428571429,1,0.5,0.4,0.2,0,0.5,0,0.6,1,0.386180575,0
1,1,0.5,0,0.857142857,0.5,1,1,0,0.5,0.5,0.2,0.6,1,0.687315219,2
1,1,0.5,0.5,0.714285714,0.5,0,0,0.4,0,0.5,0.2,0,0,0.467190999,1
1,0.5,0,0,1,1,0.5,0.4,0.8,0,1,0.6,1,0,0.654514366,2
1,0.5,0,1,0.071428571,1,0.5,0,0.4,0.5,0.5,0.6,0.4,0,0.340685396,0
0,0,0,0,0.142857143,0.5,0.5,0.6,0,0,0.5,0.2,0.8,0,0.451285263,1
0,0.5,0,1,0.5,1,0,0.2,0.6,0.5,0.5,1,0.4,0,0.474764993,1
1,0.5,0,1,0.785714286,0.5,0.5,0.2,0.4,0,0.5,0.2,0.4,0,0.443017539,1
0,0,0,0.5,0.142857143,1,0,0.6,0,0,0.5,0,1,0,0.365162654,0
0,0.5,0,1,0.857142857,0.5,0.5,1,0.8,0,1,0.4,0,0,0.393618383,0
0,0,0.5,0,0.928571429,0.5,0.5,0.6,0.6,0,0.5,1,0.4,0,0.669594843,2
0,0,1,0,1,0.5,0.5,0.2,1,0,0.5,1,0.8,0,0.832886754,2
0,0.5,0,0.5,0.714285714,0.5,0,0.4,0.6,0.5,0.5,1,0,0,0.531998873,1
0,1,0.5,0.5,0.785714286,1,0.5,0.6,0.4,0.5,1,0.6,0.4,0,0.420716916,0
1,1,0,0,1,0.5,0.5,1,0.4,0,0.5,0,1,0,0.651670772,2
1,0.5,0.5,0.5,0,1,1,0.2,0.8,0.5,1,0.6,0.6,0,0.477942649,1
0,0,0,0.5,0.357142857,0.5,0,0.6,1,0,0.5,0,1,0,0.587447214,2
0,1,0.5,0,0.357142857,1,0,0,0.2,0,0.5,0,0.8,0,0.33400068,0
1,0,0,0.5,0.071428571,0.5,1,0.6,0.4,0,0.5,0.8,0.4,0,0.474334322,1
0,0.5,0,1,0.5,0,0.5,0.2,1,0,0.5,0.4,0.2,0,0.390402317,0
1,0.5,0,1,0.285714286,1,0.5,0.4,0.8,0,0.5,0,0.6,0,0.362158431,0
0,0.5,0,1,0.785714286,0.5,0.5,0.8,1,0,1,0.8,0.2,0,0.46596184,1
0,1,0,1,1,1,0,0.4,0.6,0,0.5,0.8,0.6,0,0.436893859,1
0,0.5,0,0,0.571428571,1,1,0.8,0,1,0.5,0.2,0.4,0,0.487224196,1
1,0,0,1,0.071428571,1,0.5,0.2,1,0.5,1,0.2,0.4,0,0.449369358,1
1,0.5,0.5,0.5,0.857142857,0.5,0.5,0.8,0,1,0.5,1,0.6,0,0.780290156,2
1,0.5,0,0.5,1,0.5,0,0,0.6,0,0.5,0.6,1,0,0.614948482,2
0,0.5,0,0,0,0.5,0,1,0.2,0,0.5,0.2,0.4,0,0.455829426,1
0,0.5,0,1,0.214285714,1,0,0.2,1,0,0.5,0.4,0.2,0,0.293984338,0
0,0,0,0,0.5,1,0.5,0,0.2,0,0.5,0.8,0.6,0,0.469257057,1
0,0,0,1,0.642857143,0.5,0.5,0.2,1,0.5,0,0.6,0.2,0,0.603071268,2
0,0.5,0.5,0.5,0.785714286,0.5,1,0,0.2,0,0,0.4,0.4,0,0.47119275,1
0,0,0.5,0.5,0.857142857,0.5,0,1,0,0.5,0.5,0.2,0.4,0,0.655196456,2
1,1,0,0.5,0.571428571,0.5,1,0.2,0.6,0,0,1,0,0,0.438980869,1
0,0.5,0.5,0.5,0.357142857,1,0.5,0.4,0,0.5,0.5,0.2,0.8,1,0.532595993,1
0,1,0,0.5,0.071428571,0.5,0,0,0,0,0.5,0.4,0.6,0,0.295676759,0
1,0.5,0.5,0.5,0.857142857,0.5,0.5,0,1,0,0.5,1,0.6,0,0.708646249,2
1,0.5,0,0,0.571428571,1,0,0.6,1,0,1,0.2,0,0,0.559772512,2
0,0.5,0.5,0.5,0.928571429,0.5,1,0.4,1,0,0,0.2,0,0,0.465287898,1
0,0.5,0.5,0.5,0.785714286,0.5,0.5,0.2,1,0,0.5,0,0.8,1,0.681977223,2
1,0.5,0,0.5,0.642857143,0.5,0,0.6,0.8,0,0,1,0.4,0,0.808869267,2
0,1,1,0.5,0.428571429,0.5,0,0.2,0.2,0.5,0.5,1,0.6,0,0.615566554,2
0,0,0,0.5,0.071428571,1,0,0.2,0.4,1,1,0.6,1,0,0.5472167,2
0,0,0.5,0.5,0.571428571,0.5,0,0.4,0,0,0,1,0.8,0,0.64160936,2
1,0,1,0,0.714285714,1,0.5,1,0,1,0.5,0.2,0.8,0,0.806254976,2
0,0.5,0,0,0.357142857,0.5,1,1,0,0.5,0,0.6,0.6,0,0.54524958,1
0,0.5,0,0.5,0.571428571,0,0,0.8,0,0,0.5,0.6,1,0,0.649162403,2
0,1,0,0.5,1,0.5,0.5,0.8,0.2,0,1,1,0.2,0,0.386523948,0
0,0.5,0,0.5,0.714285714,1,0.5,0.2,0,0.5,0,0.6,1,0,0.445167403,1
0,0,0,0.5,0.571428571,1,0,1,0.4,0,0.5,0.6,0.4,0,0.584631555,2
0,1,1,0.5,1,0.5,0,0.8,0,0.5,0.5,0.4,0,0,0.563698605,2
0,0.5,0.5,0.5,1,0.5,0.5,0.6,0.2,0,1,0,0.6,0,0.39114377,0
0,1,0,0,0.928571429,1,0,0.8,0,0,0.5,0.4,0.4,0,0.466469334,1
0,0.5,0.5,0.5,1,0.5,1,0.4,0.8,0,1,0.6,1,0,0.561262402,2
1,0,0,0.5,0.714285714,0.5,0.5,0.6,0.8,0,0.5,0.6,0.2,0,0.658673253,2
0,1,0,0,0.571428571,0,0.5,0.8,1,0,0.5,0.2,0.8,0,0.588819542,2
0,1,0,0.5,0.214285714,0.5,0.5,0.2,0.4,0,1,0.2,0.4,0,0.239670874,0
1,0.5,0,0,1,0.5,0.5,0,0.4,0,0.5,1,0.6,1,0.715924593,2
0,0.5,0,0,0,1,0.5,0.4,1,0,0.5,0.8,0,0,0.39772722,0
0,1,0,0,0.071428571,1,0,1,0.6,0,0.5,0.8,0,0,0.429374572,1
0,0.5,0,1,0.285714286,0.5,0.5,0.6,0.8,0,0.5,0.4,0.6,0,0.374021678,0
0,0.5,1,0,0.5,0.5,0.5,0,0.8,0,1,0.4,0.8,0,0.504366075,1
0,0.5,0,0.5,0.785714286,1,0.5,0.6,0.8,1,0.5,0,0.2,0,0.474256336,1
0,1,0.5,0,0.357142857,0.5,0.5,0.4,0.4,0,0.5,0.4,0.6,0,0.523584488,1
0,0.5,0.5,0,0.071428571,0.5,0,0.4,0.2,0,0.5,0.2,0.8,0,0.513069126,1
1,1,0.5,0.5,0.5,1,0,0.2,0.4,0,0.5,0.6,0,0,0.438792305,1
1,1,0.5,0.5,0.285714286,1,0.5,0,0,0,0.5,0.2,1,0,0.371479554,0
1,0.5,0.5,0.5,0.857142857,0.5,0.5,0.4,0.8,0,0.5,0.4,0.4,0,0.631111458,2
1,0.5,0,1,1,0,0,0.4,1,1,0.5,0,0.8,0,0.827606958,2
0,0.5,1,1,0.928571429,1,0.5,0.4,0,0,0.5,0.8,0.2,0,0.4633976,1
0,0.5,0,0.5,0.214285714,0.5,0,0.2,0.2,0,1,0.4,0.2,0,0.276686485,0
0,0.5,0.5,0.5,0.857142857,1,0,0.6,0,0,0,1,0.2,0,0.539920896,1
0,0.5,0.5,1,0.714285714,0.5,0,0.8,0.8,0,0,0,0.4,1,0.655723737,2
0,1,0,0,0.357142857,1,0.5,0.6,0.8,0,0.5,0.2,0.6,0,0.402703219,0
1,1,0.5,0,0.785714286,0,0.5,0.2,0.6,0,0.5,0,0.8,0,0.608573384,2
0,1,0,0.5,1,0.5,0.5,0.8,0.8,0,0,0.2,0.4,0,0.479775911,1
0,1,0,0.5,0,1,0,0,0.4,0,0,0.2,0.2,0,0.276740028,0
0,0.5,0,1,0.714285714,1,1,0.4,0.4,0,1,1,0,0,0.207535816,0
0,0.5,0.5,0,0.857142857,1,0,0.4,0.4,0.5,0,0,0.6,0,0.669764784,2
1,1,0.5,0.5,0.928571429,1,1,0.6,1,0,0.5,0.4,0.6,0,0.554425205,2
0,0.5,0.5,0,0.5,1,0.5,0,0.8,0,1,0,0,0,0.333448955,0
0,0.5,0,0.5,0.071428571,1,0,0.8,0.6,0.5,0.5,0.4,0.2,0,0.475947593,1
1,0.5,0,0,0.428571429,0,0.5,0.6,0.2,0,0.5,0.6,0.4,0,0.645086158,2
1,1,1,0.5,0,1,0,0.2,0.8,0,0,0.4,0.2,0,0.532687947,1
0,1,0,1,0.928571429,0.5,0.5,1,1,0,0,0.4,0.4,0,0.525720385,1
1,1,0.5,0.5,0.5,1,0.5,1,0.6,0,1,0.6,0.2,1,0.61732765,2
0,0.5,0,1,0.785714286,1,0.5,1,0.6,0,0.5,0.6,0.8,0,0.455793343,1
1,0.5,0.5,0.5,0.357142857,0.5,1,1,0.6,0,0,1,0.6,0,0.724583413,2
0,0,0,0.5,0.857142857,1,0.5,1,0,0,0.5,0.2,0.2,0,0.353669552,0
1,1,0,1,0.642857143,0.5,0,0.8,0,0,0.5,0.2,0.2,0,0.390062436,0
0,0.5,0,0.5,0,1,0,0.6,0,1,0.5,0,0.6,1,0.49260875,1
0,0,0,0.5,0.5,1,0.5,0.4,1,0,1,1,0,0,0.384014415,0
0,0.5,0,0.5,0.785714286,1,0,1,1,0,0.5,0.4,0.4,0,0.526296553,1
0,1,1,0.5,0.357142857,0.5,0,0.2,0.8,0,0,1,1,0,0.679631811,2
1,0.5,0,0.5,0.5,0,1,0.4,0.2,0,1,1,0.4,0,0.536468542,1
1,0.5,0,0,0.071428571,1,1,0.6,0.6,0,0.5,0.4,0.4,0,0.482913991,1
1,1,0,0.5,0,0,1,0.8,0.4,0,0.5,0,0.2,0,0.32767214,0
0,0,0,0,0.071428571,1,0,0.2,0,0,0.5,0.8,0.2,0,0.426099143,0
0,0,0.5,1,1,0.5,0.5,0.4,0.8,0,1,0.2,0.6,0,0.483833533,1
0,1,0,1,0.928571429,1,0.5,0.6,0.8,0,0.5,0.4,1,0,0.388673812,0
0,1,0.5,0,0.571428571,0.5,0.5,1,0.4,0,0,0.2,0,0,0.544397549,1
1,0.5,0,0.5,0,1,0.5,0.8,0.4,0,0,0.4,0.6,0,0.55950247,2
0,0.5,0.5,0,0.928571429,0.5,0.5,0,0.8,1,0,0.2,0.8,0,0.661544783,2
0,0,0.5,1,1,1,1,0.6,0.2,0,0.5,1,0.6,0,0.492543568,1
1,0.5,0,0,0.785714286,0.5,0,0.6,0.4,0,0.5,0,0.2,0,0.577497544,2
0,0.5,0.5,0,0.928571429,1,0.5,1,0.2,0,1,0,0.2,0,0.433372831,1
1,1,0.5,0.5,0.428571429,1,0.5,0.6,0.4,0,1,0,0.8,0,0.419513365,0
0,0.5,0,0.5,1,0.5,0.5,0,1,0,0.5,0.6,0.8,0,0.546319274,2
0,1,0,0,0.928571429,0.5,1,0.6,1,0,0.5,0,0.6,0,0.433519492,1
0,0,0,0,0.142857143,0.5,0.5,0.2,0.6,0,0.5,0.6,0.2,0,0.438248728,1
0,0,0,0.5,0.857142857,0.5,0,0.4,0.4,0,0.5,0.4,0,0,0.478437338,1
0,1,0.5,0,0.357142857,0.5,0,0.4,0.8,0,0,0.2,0.4,0,0.562653354,2
1,0,0,0.5,0.428571429,1,1,1,0,0.5,0.5,1,0,0,0.569734986,2
0,0,0.5,0.5,0.928571429,0,0.5,0.2,0.6,0,0.5,0.8,0.6,0,0.680317393,2
0,1,0.5,0.5,1,0.5,0,0.6,0,0,0.5,0.6,0.8,0,0.491981367,1
0,0,0,0.5,0.642857143,1,0,0.4,0.8,0,0.5,0,0,0,0.426890647,1
0,0.5,0,0,0.5,1,0,0,1,0,1,0,0.6,0,0.41649983,0
0,0.5,0.5,0,0.5,1,0,0.2,0.6,0,1,0.4,1,0,0.53982545,1
1,0.5,0,0.5,0.785714286,1,0.5,0,0.6,0,0.5,0.2,0.4,0,0.417148165,0
0,0.5,0,0.5,0.857142857,0.5,0,0.6,0,1,0.5,0.4,0.4,0,0.619655603,2
0,1,0,1,0.571428571,0.5,0.5,0.6,0.8,1,0,0,0.2,0,0.429961216,1
0,0.5,0,0.5,0.857142857,0.5,0.5,0,0.2,0,0.5,0.8,1,0,0.480295045,1
0,0.5,0.5,0.5,0,0.5,0.5,0.2,0.4,0,1,0.6,1,0,0.428322338,1
0,0.5,0.5,0,0.285714286,1,0,0.2,0.2,0,0,0.6,0.2,0,0.485589973,1
1,0.5,0.5,0.5,0.357142857,0.5,0.5,0.8,0.2,0,0.5,0.4,0.6,0,0.590372286,2
1,0.5,1,0.5,0.857142857,1,0.5,0,0.2,0,0.5,1,1,0,0.693295729,2
0,1,0,1,0.714285714,1,0.5,0,0.8,0.5,0.5,0.8,0.6,0,0.416193704,0
0,1,0,0.5,0.357142857,1,0,0,0,0,0.5,0.8,0,0,0.214170481,0
1,0,0,0.5,0.928571429,0.5,1,1,0.2,0,0.5,0.8,1,0,0.687186017,2
0,1,0.5,0.5,0.857142857,0.5,0.5,0,0.8,0,0.5,0,0.2,0,0.353392525,0
0,0.5,0,0,0.785714286,0.5,0.5,0.2,0,0,0.5,0.4,0.4,0,0.419005871,0
0,1,0,0,0,0,0.5,0.4,1,0.5,0.5,0.4,0.2,0,0.496381198,1
0,0.5,0,0.5,0.357142857,0.5,0.5,0.8,0.4,0.5,0.5,0.4,0.8,0,0.55141749,2
0,0,0,0.5,0.857142857,1,0,1,0.6,0,1,0,0.4,0,0.465710421,1
0,0,0.5,0,0.5,0,0.5,0.6,0.2,0,0.5,0.8,0,0,0.576564035,2
1,0.5,1,0.5,0.5,1,0.5,1,0,1,0.5,0.2,0.2,0,0.658840866,2
0,1,0,0.5,0.071428571,1,0,0,0.2,0,0.5,0.8,0.4,0,0.26719193,0
0,0.5,0,1,0.142857143,1,0.5,0,0.4,0,0.5,0.8,0.2,0,0.203330369,0
0,0.5,0.5,0,0.642857143,1,0.5,0.8,0.2,0,0.5,0.4,0.4,0,0.499129346,1
0,0.5,0,0.5,0.071428571,1,0,0.4,0.8,0,0.5,0.4,0.4,0,0.42103119,0
1,0.5,1,0,0.071428571,1,1,0.8,0.6,0,0.5,0.2,0.2,0,0.62629958,2
0,0.5,0,0,0.142857143,0,0.5,0.6,0.4,0,0.5,1,0.2,0,0.53000149,1
1,0,0,0.5,0.071428571,0.5,1,1,0.4,0,0.5,0.6,0.2,0,0.582089431,2
0,0.5,0.5,1,0.071428571,1,0.5,0.6,0,0,0,0,0.2,0,0.229255614,0
